Post date,Number of Views,Location,Company name,Job title,Category,Job type,Employment term,Required candidate level,Salary,Professional skills,Soft skills
30 April 2024,37,Yerevan,BostonGene Technologies,Molecular biologist - flow cytometry,Science,Full time,Permanent,Junior,,"['Analytics and research', 'Analytical thinking']","['Positive attitude', 'Teamwork']"
30 April 2024,55,Yerevan,BostonGene Technologies,Clinical report coordinator,Other IT,Full time,Permanent,,,['Knowledge of Russian and English languages'],"['Ability to work independently', 'Negotiation  skills', 'Written communication skills', 'Time management', 'Problem solving', 'Flexible', 'Detail-oriented', 'Goal-oriented']"
01 May 2024,184,Yerevan,Shtigen Group,Product manager,Product/Project Management,Full time,Contract,Senior,,['Initiative'],[]
30 April 2024,45,Yerevan,Imagine Live,Make-up artist,Sports/Beauty,Full time,Permanent,Mid level,,"['MS Outlook', 'Painting', 'Microsoft Teams']","['Detail-oriented', 'Teamwork', 'Communication Skills']"
01 May 2024,54,Yerevan,Imagine Live,Shuffler,Entertainment,Full time,Permanent,,,['MS Outlook'],['Detail-oriented']
30 April 2024,109,Yerevan,Imagine Live,Technical Support Specialist,IT Support/Technician,Full time,Permanent,Mid level,,['Technical knowledge/competence'],"['Problem solving', 'Detail-oriented']"
30 April 2024,114,Yerevan,Imagine Live,Team Manager,Business/Management,Full time,Permanent,Mid level,,"['MS Outlook', 'MS Office', 'Microsoft Teams']","['Time management', 'Stress management', 'Team management', 'Communication Skills']"
30 April 2024,74,Yerevan,Imagine Live,Turkish Speaking Game Presenter,Entertainment,Full time,Permanent,,,['MS Outlook'],"['Detail-oriented', 'Customer Service', 'Communication Skills']"
30 April 2024,84,Yerevan,Imagine Live,Russian Speaking Game Presenter,Entertainment,Full time,Permanent,,,[],"['Public speaking', 'Communication']"
01 May 2024,79,Yerevan,Imagine Live,Game Presenter,Entertainment,Flexible schedule,Permanent,,,['English'],"['Artistic skills', 'enthusiastic']"
30 April 2024,73,Yerevan,Imagine Live,Ukrainian Speaking Game Presenter,Entertainment,Full time,Permanent,,,"['MS Outlook', 'Microsoft Teams']",['Communication Skills']
14 April 2024,154,Yerevan,Ameriabank CJSC,"Specialist, Financial Risks Management Division",Banking/credit,Full time,Permanent,Mid level,,['Risk management'],['Analytical skills']
30 April 2024,137,Yerevan,Ameriabank CJSC,Data Security Administrator,IT security/Networks,Full time,Permanent,Mid level,,['MSSQL'],[]
01 May 2024,107,Yerevan,Ucom,Վաճառքի և սպասարկման մասնագետ,Sales/service management,Full time,Temporary,Mid level,,['B2C sales'],[]
01 May 2024,170,Yerevan,Buymie,"Operations Representative (Customer Support, Logistics Specialist)",Sales/service management,Full time,Permanent,Mid level,,"['Customer Service skills', 'Logistics Management']","['Ability to work independently', 'Problem solving', 'Detail-oriented']"
10 April 2024,67,Yerevan,"""Ardshinbank"" CJSC",Վճարահաշվարկային գործառնությունների բաժնի առաջատար մասնագետ,Banking/credit,Full time,Permanent,Mid level,,"['LSoft', 'MS Office']",[]
10 April 2024,49,Yerevan,"""Ardshinbank"" CJSC",Պասիվային գործառնությունների  բաժնի առաջատար մասնագետ,Banking/credit,Full time,Permanent,Junior,,"['LSoft', 'Lotus notes', 'MS Office']",[]
11 April 2024,107,Yerevan,"""Ardshinbank"" CJSC",Հեռավար սպասարկման բաժին - Սպասարկող մասնագետ,Banking/credit,Full time,Permanent,Junior,,['MS Office'],[]
01 May 2024,76,Yerevan,"""Mehrabyan  and Sons"" LLC",Առաքիչ,Procurement/Logistics/Courier,Full time,Permanent,Senior,,[],['Ability to work under pressure']
01 May 2024,97,Yerevan,"""Mehrabyan  and Sons"" LLC",Մերչենդայզեր,Marketing/Advertising,Full time,Permanent,Mid level,,['Russian language'],[]
01 May 2024,126,Yerevan,Dial Tel LLC,-Rates/Pricing Manager-,Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,,[],['Attention to details']
01 May 2024,233,Yerevan,SoftConstruct,Python Developer,Software development,Full time,Permanent,,,"['Jenkins', 'Knowledge of OOP principles']","['Analytical skills', 'Teamwork', 'Responsibility']"
